질문,답변
"ETF와 ETN의 차이는 무엇인가요?","ETF는 특정 지수를 추종하는 펀드로 실물 자산을 보유합니다. ETN은 증권사가 발행하는 파생결합증권으로 발행사의 신용위험이 있지만, 추적 오차가 적은 장점이 있습니다."
"리포(RP) 거래란 무엇인가요?","RP(환매조건부채권)는 일정 기간 후 약정된 가격으로 되사는 조건으로 채권을 매매하는 거래입니다. 안정적인 단기 수익을 기대할 수 있으며, 최소 100만원부터 가능합니다."
"해외주식 실시간 시세는 유료인가요?","기본적으로 15분 지연 시세가 제공됩니다. 실시간 시세는 월 이용료가 발생하며, 특정 거래 조건 충족 시 무료로 전환됩니다. MTS > 해외주식 > 시세 신청에서 확인하세요."
"원천징수 영수증 발급은 어떻게 하나요?","MTS/HTS > 세금/증명 > 원천징수 영수증에서 발급 가능합니다. 연간 배당소득, 이자소득 등의 원천징수 내역을 확인하고 PDF로 다운로드할 수 있습니다."
"주식 소수점 거래가 가능한가요?","현재 해외주식에 한하여 소수점 거래가 가능합니다. 미국 주식의 경우 0.01주 단위로 매수할 수 있으며, MTS > 해외주식 > 소수점 매매에서 이용 가능합니다."
"투자자 유형 변경은 어떻게 하나요?","영업점 방문 또는 MTS > 투자성향 분석에서 변경 가능합니다. 투자성향은 안정형/안정추구형/위험중립형/적극투자형/공격투자형 5단계로 구분됩니다."
"채권 매매는 어떻게 하나요?","MTS/HTS > 채권 메뉴에서 거래 가능합니다. 장내채권은 실시간 거래가 가능하며, 장외채권은 영업점 또는 전화로 거래할 수 있습니다."
"금융소득종합과세란 무엇인가요?","연간 금융소득(이자+배당)이 2,000만원을 초과하면 다른 소득과 합산하여 종합소득세가 부과됩니다. 해당되는 경우 5월에 종합소득세 신고가 필요합니다."
"선물/옵션 거래를 하려면?","선물/옵션 거래에는 별도의 계좌 개설과 사전교육 이수가 필요합니다. 기본예탁금(선물 3,000만원, 옵션 1,000만원 이상)을 예치해야 하며, 위험 고지 동의가 필요합니다."
"고객센터 운영시간은 언제인가요?","평일 08:00~18:00(주말/공휴일 휴무)에 운영됩니다. 전화: 1588-xxxx, 카카오톡 채널: '하나증권', 이메일: support@hanasec.com으로 문의 가능합니다."
"비밀번호 재설정은 어떻게 하나요?","MTS > 설정 > 보안 > 비밀번호 변경에서 가능합니다. 공인인증서/금융인증서 비밀번호는 인증센터에서, 계좌 비밀번호는 영업점 방문 또는 ARS(1588-xxxx)로 변경 가능합니다."
